SRR_ID;Experiment_Name;Condition_Group;Category;Status;CellRanger_Ready
SRR17720212;TL_patient9_all cells;TL;unsorted;PENDING;NO
SRR28072470;TL_patient9_all cells_1;TL;unsorted;PENDING;NO
SRR28072471;TL_patient9_all cells_1;TL;unsorted;PENDING;NO
SRR28072472;TL_patient9_all cells_1;TL;unsorted;PENDING;NO
SRR28072473;TL_patient9_all cells_1;TL;unsorted;PENDING;NO
SRR28072463;TL_patient9_all cells_2;TL;unsorted;PENDING;NO
SRR28072464;TL_patient9_all cells_2;TL;unsorted;PENDING;NO
SRR28072465;TL_patient9_all cells_2;TL;unsorted;PENDING;NO
SRR28072466;TL_patient9_all cells_2;TL;unsorted;PENDING;NO
SRR28072415;TL_patient1_EC_bulkRNA-seq;TL;bulkRNA;PENDING;NO
SRR28072414;TL_patient2_EC_bulkRNA-seq;TL;bulkRNA;PENDING;NO
SRR28072413;TL_patient3_EC_bulkRNA-seq;TL;bulkRNA;PENDING;NO
SRR17720159;LGG_patient1_EC;LGG;sorted;PENDING;NO
SRR17720157;LGG_patient2_EC;LGG;sorted;PENDING;NO
SRR17720156;LGG_patient3_EC;LGG;sorted;PENDING;NO
SRR28072462;LGG_patient5_EC;LGG;sorted;PENDING;NO
SRR28072458;LGG_patient6_EC;LGG;sorted;PENDING;NO
SRR28072459;LGG_patient6_EC;LGG;sorted;PENDING;NO
SRR28072460;LGG_patient6_EC;LGG;sorted;PENDING;NO
SRR28072461;LGG_patient6_EC;LGG;sorted;PENDING;NO
SRR17720202;LGG_patient3_all cells;LGG;unsorted;PENDING;NO
SRR17720201;LGG_patient4_all cells;LGG;unsorted;PENDING;NO
SRR17720171;LGG_patient5_all cells;LGG;unsorted;PENDING;NO
SRR17720170;LGG_patient6_all cells;LGG;unsorted;PENDING;NO
SRR18148883;LGG_patient6_all cells;LGG;unsorted;PENDING;NO
SRR28072405;LGG_patient1_EC_bulkRNA-seq;LGG;bulkRNA;PENDING;NO
SRR28072404;LGG_patient2_EC_bulkRNA-seq;LGG;bulkRNA;PENDING;NO
SRR28072403;LGG_patient3_EC_bulkRNA-seq;LGG;bulkRNA;PENDING;NO
SRR28072402;LGG_patient4_EC_bulkRNA-seq;LGG;bulkRNA;PENDING;NO
SRR17720177;GBM_patient1_EC;GBM;sorted;PENDING;NO
SRR17720174;GBM_patient3_EC;GBM;sorted;PENDING;NO
SRR17720173;GBM_patient4_EC;GBM;sorted;PENDING;NO
SRR17720172;GBM_patient5_EC;GBM;sorted;PENDING;NO
SRR28072452;GBM_patient6_EC;GBM;sorted;PENDING;NO
SRR28072453;GBM_patient6_EC;GBM;sorted;PENDING;NO
SRR28072454;GBM_patient6_EC;GBM;sorted;PENDING;NO
SRR28072455;GBM_patient6_EC;GBM;sorted;PENDING;NO
SRR28072456;GBM_patient7_EC;GBM;sorted;PENDING;NO
SRR28072457;GBM_patient7_EC;GBM;sorted;PENDING;NO
SRR28072430;GBM_patient8_EC;GBM;sorted;PENDING;NO
SRR28072451;GBM_patient8_EC;GBM;sorted;PENDING;NO
SRR17720169;GBM_patient3_all cells;GBM;unsorted;PENDING;NO
SRR17720167;GBM_patient4_all cells;GBM;unsorted;PENDING;NO
SRR17720166;GBM_patient5_all cells;GBM;unsorted;PENDING;NO
SRR17720165;GBM_patient6_all cells;GBM;unsorted;PENDING;NO
SRR17720164;GBM_patient7_all cells;GBM;unsorted;PENDING;NO
SRR28072401;GBM_patient1_EC_bulkRNA-seq;GBM;bulkRNA;PENDING;NO
SRR28072400;GBM_patient2_EC_bulkRNA-seq;GBM;bulkRNA;PENDING;NO
SRR28072399;GBM_patient3_EC_bulkRNA-seq;GBM;bulkRNA;PENDING;NO
SRR28072398;GBM_patient4_EC_bulkRNA-seq;GBM;bulkRNA;PENDING;NO
SRR28072397;GBM_patient5_EC_bulkRNA-seq;GBM;bulkRNA;PENDING;NO
SRR28072396;GBM_patient6_EC_bulkRNA-seq;GBM;bulkRNA;PENDING;NO
SRR17720154;MET_patient1_EC;MET;sorted;PENDING;NO
SRR17720153;MET_patient2_EC;MET;sorted;PENDING;NO
SRR17720152;MET_patient3_EC;MET;sorted;PENDING;NO
SRR17720150;MET_patient4_EC;MET;sorted;PENDING;NO
SRR17720149;MET_patient5_EC;MET;sorted;PENDING;NO
SRR17720163;MET_patient3_all cells;MET;unsorted;PENDING;NO
SRR17720162;MET_patient4_all cells;MET;unsorted;PENDING;NO
SRR17720161;MET_patient5_all cells;MET;unsorted;PENDING;NO
SRR28072395;MET_patient1_EC_bulkRNA-seq;MET;bulkRNA;PENDING;NO
SRR28072394;MET_patient2_EC_bulkRNA-seq;MET;bulkRNA;PENDING;NO
SRR28072393;MET_patient3_EC_bulkRNA-seq;MET;bulkRNA;PENDING;NO
SRR28072392;MET_patient4_EC_bulkRNA-seq;MET;bulkRNA;PENDING;NO
SRR28072391;MET_patient5_EC_bulkRNA-seq;MET;bulkRNA;PENDING;NO
SRR17720148;MEN_patient1_EC;MEN;sorted;PENDING;NO
SRR17720146;MEN_patient3_EC;MEN;sorted;PENDING;NO
SRR17720145;MEN_patient4_EC;MEN;sorted;PENDING;NO
SRR17720223;MEN_patient5_EC;MEN;sorted;PENDING;NO
SRR17720160;MEN_patient3_all cells;MEN;unsorted;PENDING;NO
SRR17720158;MEN_patient4_all cells;MEN;unsorted;PENDING;NO
SRR17720187;MEN_patient5_all cells;MEN;unsorted;PENDING;NO
SRR28072390;MEN_patient1_EC_bulkRNA-seq;MEN;bulkRNA;PENDING;NO
SRR28072389;MEN_patient2_EC_bulkRNA-seq;MEN;bulkRNA;PENDING;NO
SRR28072388;MEN_patient3_EC_bulkRNA-seq;MEN;bulkRNA;PENDING;NO
SRR28072387;MEN_patient4_EC_bulkRNA-seq;MEN;bulkRNA;PENDING;NO
SRR28072386;MEN_patient5_EC_bulkRNA-seq;MEN;bulkRNA;PENDING;NO
SRR28072385;MEN_patient6_EC_bulkRNA-seq;MEN;bulkRNA;PENDING;NO
SRR17720182;AVM_patient1_EC;AVM;sorted;PENDING;NO
SRR17720194;AVM_patient2_EC;AVM;sorted;PENDING;NO
SRR17720181;AVM_patient3_EC;AVM;sorted;PENDING;NO
SRR17720179;AVM_patient4_EC;AVM;sorted;PENDING;NO
SRR17720180;AVM_patient5_EC;AVM;sorted;PENDING;NO
SRR17720206;AVM_patient3_all cells;AVM;unsorted;PENDING;NO
SRR17720205;AVM_patient4_all cells;AVM;unsorted;PENDING;NO
SRR17720204;AVM_patient5_all cells;AVM;unsorted;PENDING;NO
SRR28072412;AVM_patient1_EC_bulkRNA-seq;AVM;bulkRNA;PENDING;NO
SRR28072411;AVM_patient2_EC_bulkRNA-seq;AVM;bulkRNA;PENDING;NO
SRR28072410;AVM_patient3_EC_bulkRNA-seq;AVM;bulkRNA;PENDING;NO
SRR28072409;AVM_patient4_EC_bulkRNA-seq;AVM;bulkRNA;PENDING;NO
SRR28072408;AVM_patient5_EC_bulkRNA-seq;AVM;bulkRNA;PENDING;NO
SRR28072407;AVM_patient6_EC_bulkRNA-seq;AVM;bulkRNA;PENDING;NO
SRR28072406;AVM_patient7_EC_bulkRNA-seq;AVM;bulkRNA;PENDING;NO
